"No","Nama Entitas/Produk","Jenis Dokumen","Tautan Sumber"
"1","CV Ardita","SIUP","http://eprints.polsri.ac.id/6187/8/Lampiran%2011.pdf"
"2","Toko ""Wahyu""","SIUP","https://dpmptsp.bulelengkab.go.id/informasi/download/siup-yang-terbit-di-bulan-oktober-sd-desember-2019-66.pdf"
"3","UD ""Sari Rahayu""","SIUP","https://dpmptsp.bulelengkab.go.id/informasi/download/siup-yang-terbit-di-bulan-oktober-sd-desember-2019-66.pdf"
"4","UD ""Gebar Jaya""","SIUP","https://dpmptsp.bulelengkab.go.id/informasi/download/siup-yang-terbit-di-bulan-oktober-sd-desember-2019-66.pdf"
"5","Olympic Konfeksi","SIUP","https://dpmptsp.bulelengkab.go.id/informasi/download/siup-yang-terbit-di-bulan-oktober-sd-desember-2019-66.pdf"
"6","PT Citra Insan Mandiri","SIUP","https://www.scribd.com/document/732691343/Company-Profile"
"7","PT Bina Marchia Mandiri","SIUP","https://binamarchia.com/wp-content/uploads/2024/11/Compro-2024-PT.-BIMA.pdf"
"8","CV Majapahit","SIUP","https://id.scribd.com/document/479832900/SIUP"
"9","PT Jayalah Palembang","SIUP","https://id.scribd.com/document/479832900/SIUP"
"10","PT Pempek Kito","SIUP","https://id.scribd.com/document/988152554/Surat-Izin-Usaha-Rio-Ismi-2"
"11","PT Telkom Indonesia (Persero) Tbk","NIB","https://www.telkom.co.id/minio/show/data/lampiran/1651308313734_Annual%20Report%20Telkom%202021.pdf"
"12","Unit Pelaksana Pelayanan Terpadu Satu Pintu","NIB","https://ppid.ut.ac.id/wp-content/uploads/2024/10/Dokumen-Penawaran-Administratif-Paket-1-2023.pdf"
"13","LPPM Bimtek","NIB","https://lppmbimtek.com/wp-content/uploads/2026/01/JADWAL-BIMTEK-LPPMBIMTEK-COM-ID-2026.pdf"
"14","PT Multi Medika Internasional Tbk","NIB","https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202406/6cd19b0029_f4030bb805.pdf"
"15","UKM Kausa Lestari Palembang","NIB","https://ejournal.stebisigm.ac.id/index.php/AKM/article/download/1135/471"
"16","CV Gautama Zahir","NIB","https://id.scribd.com/document/479832900/SIUP"
"17","CV Bijaksana","NIB","https://id.scribd.com/document/479832900/SIUP"
"18","Eksportir/Importir via INSW","NIB","https://e-journal.citakonsultindo.or.id/index.php/IJEBIR/article/download/53/45"
"19","UMKM Desa Cikahuripan","NIB","https://abdiputra.nusaputra.ac.id/article/download/243/266"
"20","Telkomsel","NIB","https://www.telkom.co.id/minio/show/data/lampiran/1651308313734_Annual%20Report%20Telkom%202021.pdf"
"21","Bank Danamon Indonesia","NPWP","https://peraturanpajak.com/wp-content/uploads/2018/02/lampiran-kep-20-pj-2007.pdf"
"22","Bank Internasional Indonesia (BII) Palembang","NPWP","https://peraturanpajak.com/wp-content/uploads/2018/02/lampiran-kep-20-pj-2007.pdf"
"23","Bank Syariah Mandiri","NPWP","https://peraturanpajak.com/wp-content/uploads/2018/02/lampiran-kep-20-pj-2007.pdf"
"24","Ricobana Abadi","NPWP","https://peraturanpajak.com/wp-content/uploads/2018/02/lampiran-kep-20-pj-2007.pdf"
"25","Lippo Bank","NPWP","https://peraturanpajak.com/wp-content/uploads/2018/02/lampiran-kep-20-pj-2007.pdf"
"26","Bank Pan Indonesia Tbk (Panin)","NPWP","https://peraturanpajak.com/wp-content/uploads/2018/02/lampiran-kep-20-pj-2007.pdf"
"27","Wijaya Kusuma Contractors","NPWP","https://peraturanpajak.com/wp-content/uploads/2018/02/lampiran-kep-20-pj-2007.pdf"
"28","Bank Artha Graha Internasional Tbk","NPWP","https://peraturanpajak.com/wp-content/uploads/2018/02/lampiran-kep-20-pj-2007.pdf"
"29","Federal International Finance (FIF)","NPWP","https://peraturanpajak.com/wp-content/uploads/2018/02/lampiran-kep-20-pj-2007.pdf"
"30","Sandhy Putra Makmur","NPWP","https://peraturanpajak.com/wp-content/uploads/2018/02/lampiran-kep-20-pj-2007.pdf"
"31","PT Sinar Sosro","Sertifikat Halal","https://issuu.com/ihatecpublisherfilppedbook/docs/majalah_halal_review_agustus_2024_-_kebijakan_sert"
